config_id,parent_config,hypothesis_id,symbol,terminal,feed,module,generation,search_method,parameters_json,dataset_split,from_date,to_date,modelling,trades,trades_per_year,wins,wr_pct,realized_rr,pf,dd_pct,net_r,expectancy_r,max_consec_loss,longs_trades,longs_wr,shorts_trades,shorts_wr,retention_vs_parent_pct,removed_losers,removed_winners,new_losers,new_winners,verdict,reason,evidence_path,timestamp
REGRESSION_MODA_NCT_RR10,,,GER40.s,PUPrime-Demo,GER40.s,ModA,0,MANUAL_HYPOTHESIS,"{set:DE40_ModA_NCT_RR10}",DEV,2023.01.01,2024.12.31,67% real,18,11.3,12,66.67,1.0,1.96,3.78,17.9,0.99,,9,66.67,9,66.67,,,,,KEEP,regression within 5% of prior 18/66.7/2.06,evidence/RUNS/REGRESSION_MODA_NCT_RR10_20260815_153239,2026-08-15T15:36
BRKRT_BASE,,,GER40.s,PUPrime-Demo,GER40.s,BRKRT,1,MANUAL_HYPOTHESIS,"{lookback:60,tol:0.4,bars:8,gate:EMA200,sl:2.0ATR,tp:1.0R}",DEV-gold,2023.09.01,2024.12.31,100% real,181,136.2,87,48.07,1.001,0.926,15.35,-6.97,-0.039,5,102,51.96,79,43.04,,,,,REJECTED,both-dir negative; longs +4.08R; frontier: 1.0R best; shorts/Mon/Fri/06-09 dead,evidence/BRKRT_DEVGOLD_trades.csv,2026-08-15T15:56
OBREC_BASE,,,GER40.s,PUPrime-Demo,GER40.s,OBREC,1,MANUAL_HYPOTHESIS,"{imp:1.4,age:30,conf:2,gate:on,tp:1.0R}",DEV-gold,2023.09.01,2024.12.31,100% real,187,142.8,96,51.34,0.994,1.049,5.92,4.56,0.024,7,105,54.29,82,47.56,,,,,RETAIN_AS_COMPONENT,weak both-dir; longs +9.07R; 2024 positive,evidence/OBREC_DEVGOLD_trades.csv,2026-08-15T15:56
EXHREJ_BASE,,,GER40.s,PUPrime-Demo,GER40.s,EXHREJ,1,MANUAL_HYPOTHESIS,"{ext:0.7ATR,wick:0.6,volspike:2.0,tp:1.0R}",DEV-gold,2023.09.01,2024.12.31,100% real,39,30.3,16,41.03,0.999,0.695,10.81,-7.1,-0.182,8,13,61.54,26,30.77,,,,,REJECTED,both-dir negative; longs +3.09R only; shorts -10.19R,evidence/EXHREJ_DEVGOLD_trades.csv,2026-08-15T15:56
VPPOC_BASE,,,GER40.s,PUPrime-Demo,GER40.s,VPPOC,1,MANUAL_HYPOTHESIS,"{days:2,bucket:250pts,va:70,trig:reject,tp:1.0R}",DEV-gold,2023.09.01,2024.12.31,100% real,123,92.5,60,48.78,0.822,0.783,2.10,-13.77,-0.112,8,51,60.78,72,40.28,,,,,REJECTED,both-dir negative; longs +3.49R; Frankfurt bucket -8.17R,evidence/VPPOC_DEVGOLD_trades.csv,2026-08-15T15:56
SOT_BASE,,,GER40.s,PUPrime-Demo,GER40.s,SOT,1,MANUAL_HYPOTHESIS,"{mask:128,verified-config-defaults}",DEV-gold,2023.09.01,2024.12.31,100% real,21,15.5,12,57.14,1.0,1.29,6.14,7.0,0.33,,10,40.0,11,72.73,,,,,NEAR_PASS,positive but freq 15.5/yr below 21; shorts 72.7% vs longs 40% (inverted),evidence/SOT_DEVGOLD_trades.csv,2026-08-15T16:17
SOT_PARITY_2025,,,GER40.s,PUPrime-Demo,GER40.s,SOT,1,MANUAL_HYPOTHESIS,"{mask:128}",PARITY,2025.08.01,2026.07.02,100% real,16,16.0,6,37.5,1.0,0.58,7.10,-12.7,-0.79,,10,60.0,6,0.0,,,,,REJECTED,S1 breach vs engine 50tr/74%; shorts 0% on MT5 vs 76% engine; port fidelity suspect,evidence/SOT_PARITY_trades.csv,2026-08-15T16:17
EXHREJ_LONGONLY,BRKRT_BASE? no parent,EXH-long-only,GER40.s,PUPrime-Demo,GER40.s,EXHREJ,2,MANUAL_HYPOTHESIS,"{ext:0.7,wick:0.6,vol:2.0,longs-only}",DEV-gold,2023.09.01,2024.12.31,100% real,13,9.7,8,61.54,1.0,1.58,4.14,2.9,0.22,,13,61.54,0,,,,,,,RETAIN_AS_COMPONENT,longs-only positive PF1.58 but 9.7/yr below floor,evidence/EXHREJ_LONGONLY_trades.csv,2026-08-15T16:14
VPPOC_LONGONLY,VPPOC_BASE,VPPOC-long-only,GER40.s,PUPrime-Demo,GER40.s,VPPOC,2,MANUAL_HYPOTHESIS,"{days:2,bucket:250,va:70,longs-only}",DEV-gold,2023.09.01,2024.12.31,100% real,55,41.3,34,61.82,1.0,1.22,0.60,1.0,0.018,,55,61.82,0,,,,,,,NEAR_PASS,longs-only positive 41/yr but WR 61.8 below 75% band at 1R,evidence/VPPOC_LONGONLY_trades.csv,2026-08-15T16:14
VPPOC_LONG_MIDDAY,VPPOC_LONGONLY,VPPOC-midday-window,GER40.s,PUPrime-Demo,GER40.s,VPPOC,2,MANUAL_HYPOTHESIS,"{longs-only,12-15GMT}",DEV-gold,2023.09.01,2024.12.31,100% real,33,24.7,19,57.58,1.0,0.94,0.70,-0.2,-0.006,,33,57.58,0,,,,,,,REVERTED,midday restriction harmful vs full-day longs,evidence/VPPOC_LONGMIDDAY_trades.csv,2026-08-15T16:14
